Wijknaam;Type;Onderdeelvan;Nederlanders;Marokkanen;Turken;Kaapverdianen;Antilianen;Surinamers;Zuid-Europeanen;Overig
Afrikaanderwijk;Wijk;Feijenoord;16;13;34;3;5;13;3;14
Agniesebuurt;Wijk;Noord;35;11;14;4;3;13;3;16
Bergpolder;Wijk;Noord;60;5;5;2;2;6;3;17
Beverwaard;Wijk;IJsselmonde;50;3;3;2;7;19;3;13
Blijdorp;Wijk;Noord;76;1;1;1;1;3;2;15
Bloemhof;Wijk;Feijenoord;30;10;26;1;5;11;2;15
Bospolder;Wijk;Delfshaven;21;17;23;11;2;12;5;10
CS-kwartier;Wijk;Rotterdam Centrum;46;1;2;1;1;4;1;45
Carnisse;Wijk;Charlois;50;6;8;2;4;10;3;17
Cool;Wijk;Rotterdam Centrum;49;6;3;3;2;9;5;22
De Esch;Wijk;Kralingen-Crooswijk;56;4;3;3;3;10;3;19
Delfshaven;Wijk;Delfshaven;38;8;7;6;9;12;4;16
Dijkzigt;Wijk;Rotterdam Centrum;50;0;2;0;17;10;2;19
Dorp;Wijk;Hoek van Holland;89;0;1;0;0;1;1;8
Feijenoord;Wijk;Feijenoord;18;14;29;4;5;15;4;10
Groot-IJsselmonde;Wijk;IJsselmonde;66;3;3;1;5;7;2;12
Heijplaat;Wijk;Charlois;66;3;5;1;7;4;4;10
Het Lage Land;Wijk;Prins Alexander;71;2;2;1;2;6;2;13
Hillegersberg-Noord;Wijk;Hillegersberg-Schiebroek;73;3;1;1;2;3;2;15
Hillegersberg-Zuid;Wijk;Hillegersberg-Schiebroek;80;1;1;0;1;2;2;13
Hillesluis;Wijk;Feijenoord;20;13;28;3;5;14;3;13
Hoogvliet-Noord;Wijk;Hoogvliet;56;2;5;2;8;14;2;13
Hoogvliet-Zuid;Wijk;Hoogvliet;76;1;1;1;4;5;1;12
Katendrecht;Wijk;Feijenoord;38;8;4;3;10;12;2;23
Kleinpolder;Wijk;Overschie;52;9;6;4;2;9;4;13
