wijknaam;data2006;data2007;data2008;data2009;data2011
Tarwewijk;14.8;14.1;23.7;28.8;17.8
Carnisse;13.7;12.3;15;18.9;25
Zuidwijk;6.2;5.3;7.3;7.2;10.4
Oud Charlois;15.3;12.2;17.2;15.3;13.6
Wielewaal;2.9;0;2;11.3;6.9
Zuidplein;18.5;13.6;13.8;13.6;10.2
Pendrecht;17.6;9.2;13.8;18.4;13.1
Heijplaat;9.6;1.7;4;6;13.9
Charlois;13.3;10.1;14.2;16;15.5
Rotterdam;8.2;6.7;9.9;10.2;10.1
Delfshaven;9.6;5.8;14;10.3;14.2
Bospolder;19.1;12;17.7;22.7;23.6
Tussendijken;16;12.1;13.4;13.8;14.6
Spangen;8.1;7.3;7.8;12.1;10.7
Nieuwe Westen;11.2;10;18.6;14.9;19.4
Middelland;19.1;13.7;20.6;24.4;21
Oud/Nieuw Mathenesse/Witte Dorp;6.3;5.9;4.4;6.7;12.8
Schiemond;5.7;7.8;5.8;9.2;9.6
Delfshaven;12.3;9.7;14.3;15.1;16.6
Rotterdam;8.2;6.7;9.9;10.2;10.1
Kop van Zuid Entrepot;7.4;5.1;9.8;6.3;7.5
Vreewijk;8.5;2.7;5.7;6.5;10.2
Bloemhof;18.1;16.7;24.6;20.2;23.2
Hillesluis;18;17;20.8;23.7;19.9
Katendrecht;10.8;4.6;8.6;4.3;5.3
Afrikaanderwijk;24.8;11.8;21.4;21.4;17.4
Feijenoord;4.5;7.8;16;17.9;16.8
Noordereiland;5.5;2.2;9.3;7.1;12.8
Feijenoord;13.4;9.7;16.4;15.1;15.4
Rotterdam;8.2;6.7;9.9;10.2;10.1
Schiebroek;3.4;3.8;3;4.8;7.1
Hillegersberg Zuid;5.7;1.3;0.5;2.9;3.4
Hillegersberg Noord;1.1;3.2;1.8;1.6;1.3
Terbregge;2.3;0;0.7;1.4;1.1
Molenlaankwartier;1.1;1.9;1.1;0.9;0.7
Hillegersberg-Schiebroek;2.9;2.6;1.8;2.9;3.7
Rotterdam;8.2;6.7;9.9;10.2;10.1
Hoogvliet Noord;2.3;2.6;10.3;6.3;9.8
Hoogvliet Zuid;2.7;2.8;5.4;6.2;6
Hoogvliet;2.5;2.7;7.3;6.2;7.4
Rotterdam;8.2;6.7;9.9;10.2;10.1
Oud IJsselmonde;1.7;4.4;2.2;7.1;4.6
Lombardijen;2.3;9;12.2;7;8.3
Groot IJsselmonde;5.1;4.4;6.4;6.7;5.6
Beverwaard;6.3;9.1;11.7;8.4;22.5
IJsselmonde;4.4;6.4;8.4;7.2;9.6
Rotterdam;8.2;6.7;9.9;10.2;10.1
Rubroek;4.8;5.2;6;7.4;11.5
Nieuw Crooswijk;7.3;7.4;8.3;14.6;9
Oud Crooswijk;7.8;7.4;10.9;11.6;12.9
Kralingen West;8.7;5;11.8;12.3;10.7
Kralingen Oost/Kralingse Bos;4;3.3;1.3;2;0.9
De Esch;2.7;6.9;7.2;12.3;11.9
Struisenburg;5.7;2.6;6.8;6.3;4.8
Kralingen-Crooswijk;6.5;5.3;8.3;9.6;9.3
Rotterdam;8.2;6.7;9.9;10.2;10.1
Agniesebuurt;10.8;5.8;14.4;12.4;11.8
Provenierswijk;3.9;3.3;7.1;7.9;7.7
Bergpolder;8.6;5.2;8.9;9.2;7.8
Blijdorp;1.7;2;1.8;3.2;2.7
Liskwartier;3.5;7.9;5.2;9.4;4.2
Oude Noorden;17.3;9.2;15.7;14.6;16.2
Noord;9.2;6.2;9.6;10.1;9.4
Rotterdam;8.2;6.7;9.9;10.2;10.1
Kleinpolder;1.1;2.5;3;4.9;7.6
Overschie eo;1.7;2.5;3.1;3.6;2.2
Overschie;1.4;2.5;3.1;4.2;4.6
Rotterdam;8.2;6.7;9.9;10.2;10.1
s-Gravenland;1.7;1.3;2.1;3.8;2.2
Kralingse Veer;2.9;0;1.1;1.1;0.9
Prinsenland;2.9;1.8;1.3;2.7;2.4
Het Lage Land;1.7;1.9;2.7;1.9;2.5
Ommoord;4.7;3.2;3;2.3;1.6
Oosterflank;2.2;4.6;5.6;6.1;6.6
Zevenkamp;6.5;8.6;7;7.5;6.2
Nesselande;1.2;1.8;0.7;2.3;2.2
Prins Alexander;3.4;3.4;3.3;3.7;3.2
Rotterdam;8.2;6.7;9.9;10.2;10.1
Stadsdriehoek/C.S. Kwartier;12.2;7.1;10.3;13;7.8
Oude Westen;28.2;28.7;47.3;37.3;18.9
Cool/Nieuwe Werk/Dijkzigt;15.7;6.1;10;12.1;10.2
Stadscentrum;17.3;14.1;22.4;20.7;11.8
Rotterdam;8.2;6.7;9.9;10.2;10.1
