Gebied;Wijknaam;MilieuObjectief;GemiddeldeWozPerM2Woningoppervlakte;PercentageWoningenMetBakkerBinnenNormafstand;PercentageWoningenMetGroenteboerBinnenNormafstand;PercentageWoningenMetSlagerBinnenNormafstand;PercentageWoningenMetBushaltesBinnenNormafstand;PercentageWoningenMetMetrostationsBinnenNormafstand;PercentageWoningenMetTramhaltesBinnenNormafstand;GemiddeldeNo2Concentratie2009IrtGrenswaarde40mgM3;PercentageWoningenInGeluidscontourVanaf55Db
Charlois;Tarwewijk;92;1039;99;100;100;12;100;100;81;59
Charlois;Carnisse;128;1250;77;78;72;96;100;100;78;37
Charlois;Zuidwijk;122;1368;52;55;67;59;76;100;72;54
Charlois;OudCharlois;114;1241;8;79;79;81;4;100;79;46
Charlois;Wielewaal;120;1265;0;0;0;62;4;100;71;57
Charlois;Zuidplein;45;1309;100;100;100;84;100;100;88;96
Charlois;Pendrecht;121;1219;43;44;47;71;99;100;74;52
Charlois;ZuiderparkenZuidrand;96;2073;0;7;7;54;87;92;84;5
Charlois;Heijplaat;108;1452;61;59;58;77;0;0;68;76
Charlois;Charlois;105;1244;69;70;71;65;72;98;80;51
Delfshaven;Delfshaven;92;1310;77;84;83;53;100;100;85;52
Delfshaven;Bospolder;112;1274;100;100;100;100;100;100;78;5
Delfshaven;Tussendijken;104;1197;100;99;99;6;100;100;81;5
Delfshaven;Spangen;80;1196;84;86;85;85;100;100;8;74
Delfshaven;NieuweWesten;92;1320;98;97;96;85;98;100;84;53
Delfshaven;Middelland;73;1442;96;98;96;72;100;100;88;61
Delfshaven;Schiemond;136;1830;69;76;75;0;100;100;83;21
Delfshaven;OudMathenesseWitteDorp;87;1303;78;84;8;76;96;100;8;66
Delfshaven;Delfshaven;93;1344;9;92;91;53;99;100;83;55
Feijenoord;KopvanZuid;103;2393;11;11;11;56;100;100;91;33
Feijenoord;KopvanZuidEntrepot;100;1674;72;77;77;83;100;100;83;5
Feijenoord;Vreewijk;127;1506;4;42;46;89;35;100;76;41
Feijenoord;Bloemhof;120;1240;99;99;100;7;100;100;77;45
Feijenoord;Hillesluis;105;1127;100;99;100;87;44;100;78;56
Feijenoord;Katendrecht;131;1508;59;62;61;100;8;100;81;3
Feijenoord;Afrikaanderwijk;97;1109;99;94;96;84;100;100;82;53
Feijenoord;Feijenoord;103;1161;82;82;92;91;71;100;81;51
Feijenoord;Noordereiland;128;1725;63;65;64;100;100;100;84;27
Feijenoord;Feijenoord;111;1396;74;74;76;84;75;100;8;45
HillegersbergSchiebroek;Schiebroek;123;1758;63;54;51;75;87;100;72;54
HillegersbergSchiebroek;Hillegersbergzuid;97;1985;74;65;63;71;71;100;84;49
HillegersbergSchiebroek;Hillegersbergnoord;138;2368;3;35;32;8;100;100;69;47
HillegersbergSchiebroek;Terbregge;76;2337;0;0;0;37;19;99;82;71
HillegersbergSchiebroek;Molenlaankwartier;153;2597;3;28;33;64;0;100;7;35
HillegersbergSchiebroek;HillegersbergSchiebroek;123;2102;49;44;43;71;48;100;74;50
HoekvanHolland;Strandenduin;185;2423;2;2;2;52;55;0;55;9
HoekvanHolland;DorpRijnpoort;159;1884;4;38;56;85;91;0;61;38
HoekvanHolland;HoekvanHolland;172;1968;33;32;46;79;85;0;59;29
Hoogvliet;Hoogvlietnoord;109;1446;27;29;27;81;39;0;72;66
Hoogvliet;Hoogvlietzuid;167;1386;39;42;41;84;98;0;62;33
Hoogvliet;Hoogvliet;147;1407;35;37;36;83;77;0;67;45
IJsselmonde;OudIJsselmonde;96;1713;29;29;29;58;0;100;81;57
IJsselmonde;Lombardijen;116;1417;35;37;36;79;0;100;74;55
IJsselmonde;Beverwaard;105;1348;27;28;29;33;0;100;78;55
IJsselmonde;GrootIJsselmondeNoord;102;1588;59;6;62;74;0;100;76;62
IJsselmonde;GrootIJsselmondeZuid;129;1434;46;47;43;77;0;100;74;45
IJsselmonde;IJsselmonde;110;1475;41;43;42;67;0;100;77;54
KralingenCrooswijk;Rubroek;82;1692;8;81;79;59;100;100;84;61
KralingenCrooswijk;NieuwCrooswijk;96;1311;89;92;9;100;5;100;86;46
KralingenCrooswijk;OudCrooswijk;84;1483;76;79;78;55;94;100;85;59
KralingenCrooswijk;Kralingenwest;113;1712;93;95;94;17;100;100;79;47
KralingenCrooswijk;DeEsch;107;1620;31;31;31;0;16;100;8;48
KralingenCrooswijk;Struisenburg;80;1996;4;43;43;89;100;100;87;58
KralingenCrooswijk;KralingenOostKralingseBos;114;2473;51;46;48;26;99;99;79;45
KralingenCrooswijk;KralingenCrooswijk;102;1763;72;73;73;41;84;100;81;52
Noord;Agniesebuurt;75;1484;84;85;86;79;100;100;85;67
Noord;Provenierswijk;84;1522;100;100;100;17;100;100;85;59
Noord;Bergpolder;65;1542;91;94;93;41;100;100;95;55
Noord;Liskwartier;71;1617;84;92;66;95;52;100;91;58
Noord;OudeNoorden;88;1410;9;9;89;72;41;100;86;52
Noord;BlijdorpBlijdorpsepolder;82;1841;73;78;76;73;100;100;89;52
Noord;Noord;79;1566;86;89;85;66;75;100;88;55
Overschie;Kleinpolder;73;1514;49;55;53;88;100;52;85;68
Overschie;Overschie;79;1674;40;12;14;74;4;100;81;72
Overschie;NoordKethelSchieveenZestienhoven;98;2936;0;0;0;34;48;61;77;64
Overschie;Overschie;89;1721;39;31;31;76;9;38;78;69
Pernis;Pernis;97;1618;37;4;41;82;100;0;71;8
Pernis;Pernis;97;1618;37;4;41;82;100;0;71;8
PrinsAlexander;sGravenland;119;2275;41;44;44;3;99;36;77;47
PrinsAlexander;Kralingseveer;120;1537;79;0;0;100;65;14;89;24
PrinsAlexander;Prinsenland;113;1775;2;22;21;93;69;25;75;56
PrinsAlexander;HetLageLand;98;1553;45;44;48;86;82;0;79;59
PrinsAlexander;Ommoord;128;1582;43;46;46;62;100;3;73;48
PrinsAlexander;Zevenkamp;150;1526;38;4;4;44;100;0;68;4
PrinsAlexander;Oosterflank;110;1562;52;38;54;89;100;0;77;53
PrinsAlexander;Nesselande;172;2388;18;18;18;0;99;0;62;29
PrinsAlexander;PrinsAlexander;131;1719;39;37;39;61;94;70;72;47
RotterdamCentrum;Stadsdriehoek;56;2127;9;93;9;76;100;100;89;76
RotterdamCentrum;OudeWesten;74;1379;98;98;98;43;100;100;89;57
RotterdamCentrum;Cool;85;1852;100;100;100;42;100;100;87;53
RotterdamCentrum;CSkwartier;44;1643;0;62;0;9;100;100;88;100
RotterdamCentrum;NieuweWerkDijkzigt;45;2679;51;51;5;100;100;100;88;93
RotterdamCentrum;RotterdamCentrum;64;1905;89;92;89;58;100;100;88;69
Rozenburg;Rozenburg;124;1574;32;37;37;66;0;0;62;67
Rozenburg;Rozenburg;124;1574;32;37;37;66;0;0;62;67
Rotterdam;Rotterdam;118;1575;62;63;63;65;71;75;74;52
