wijknaam;data2006;data2007;data2008;data2009;data2011
Tarwewijk;22.6;30.3;26.6;25.8;21.6
Carnisse;22.3;29;22.3;25.3;23.6
Zuidwijk;23.1;20.5;19.2;19;20.7
Oud Charlois;30;23.4;22;17.4;23
Wielewaal;17.4;3.9;10.8;22.7;34.6
Zuidplein;31.7;26.8;19.1;21.5;22.3
Pendrecht;23.4;26.9;22.3;21.2;19.5
Heijplaat;9.1;4;2.4;10.7;17.7
Charlois;24.1;24.8;21.1;20.7;21.8
Rotterdam;18.7;18.2;20;18.5;18.2
Delfshaven;23.5;18.8;30;18.6;16.6
Bospolder;20.3;15.6;21.9;17.9;17.7
Tussendijken;19.3;17.4;25.5;25.1;21
Spangen;11.6;12.4;24.5;19.8;20.2
Nieuwe Westen;25.1;19.9;25.1;22.3;28.4
Middelland;31.3;27.5;26.3;28.8;23.7
Oud/Nieuw Mathenesse/Witte Dorp;14;15.8;20.2;14.9;22
Schiemond;13.5;14.9;15.1;16.2;20.8
Kop van Zuid Entrepot;21.5;17.3;17.1;15;12.3
Vreewijk;21;18.4;17.2;18.1;15.7
Bloemhof;22.1;20.1;21.9;23.5;26.8
Hillesluis;18.3;19.2;22.7;19.9;20.3
Katendrecht;22.8;15.9;24.6;10.4;7.9
Afrikaanderwijk;19.4;14.7;20.1;22.8;17.2
Feijenoord;12.6;28.6;21.7;22.5;21
Noordereiland;21.2;12.4;17.7;20.7;12.5
Schiebroek;13.1;16.1;14.2;14.9;17.2
Hillegersberg Zuid;15.4;12.4;11.6;10.7;10.7
Hillegersberg Noord;5.6;7.6;12.9;10.2;7.9
Terbregge;2.9;1.3;2.5;6.5;3.5
Molenlaankwartier;9.2;13;7.5;6.5;10
Hillegersberg-Schiebroek;10.8;12.6;11.2;11;11.9
Hoek van Holland;16;9.7;8.9;10;7.3
Hoogvliet Noord;11.9;9;18.5;15.7;12.6
Hoogvliet Zuid;8.9;11.1;21.1;14.3;14.7
Hoogvliet;10.1;10.3;20.1;14.8;13.9
Oud IJsselmonde;5.6;9.1;6.1;6.5;8
Lombardijen;13.7;18.6;18.7;17.5;14.6
Groot IJsselmonde;14.4;16.4;19.8;15.8;19.7
Beverwaard;24;18.2;21.7;18.5;22.1
IJsselmonde;15.4;16.6;18.6;15.2;17.8
Rubroek;20;19.6;23.5;26.2;24.7
Nieuw Crooswijk;25.2;17.6;21.6;37.9;20.1
Oud Crooswijk;18.2;19.9;29.7;30.3;25.6
Kralingen West;23;29.7;23.6;20.1;25.1
Kralingen Oost/Kralingse Bos;21.5;19.6;20.6;21.9;22.5
De Esch;6;10.6;11.9;8.4;7.6
Struisenburg;17;15.1;26;21.4;19.3
Kralingen-Crooswijk;19.7;21.5;23.2;22.9;22.5
Agniesebuurt;30.2;21.5;27.8;24.4;27.1
Provenierswijk;29.4;27;32.4;24;29.7
Bergpolder;25.7;23.5;18.4;17.8;20.8
Blijdorp;23;22.7;20.4;15.9;19.8
Liskwartier;21.8;23.6;22.3;22.7;23.4
Oude Noorden;31.7;21.9;35.8;26;24.8
Noord;27.3;23;27.3;22.1;23.7
Kleinpolder;11.6;17.4;14.7;16.2;19.6
Overschie eo;5.1;12;11.5;13.2;16.5
Overschie;8.1;13.4;13;14.6;17.9
Pernis;25.8;26.6;28.2;12.6;19.4
s-Gravenland;8.5;14.3;12.2;15.2;9.7
Kralingse Veer;4.4;2.4;6.6;5.6;3.4
Prinsenland;14.9;11.4;9.1;12.5;9.9
Het Lage Land;10.2;16.2;16;11.5;6.6
Ommoord;19.1;17.5;16;16.8;12.8
Oosterflank;21.7;20.2;19.5;21.4;14.2
Zevenkamp;15;15.1;12.4;15.8;12.8
Nesselande;6.7;6.4;10.4;11.8;8.2
Prins Alexander;14.4;14.7;13.9;15.1;10.9
Stadsdriehoek/C.S. Kwartier;25.1;22.7;25;22.5;24.2
Oude Westen;23.1;25.3;29.1;26.6;22.2
Cool/Nieuwe Werk/Dijkzigt;30.7;20.6;29.2;28.8;21.6
Stadscentrum;25.2;23.1;27.3;25.1;23.1
