wijknaam;data2006;data2007;data2008;data2009;data2011
Tarwewijk;65.1;66.1;59;49.6;54.9
Carnisse;64.3;72.1;58.7;52;54.5
Zuidwijk;81.5;83;67.5;69.5;67.4
OudCharlois;73.3;73.7;67;66.8;63.3
Wielewaal;97.1;96.1;91.9;80.6;90.5
Zuidplein;80;88.2;69.6;56.9;64.7
Pendrecht;62.9;66.6;58.1;54.7;58.7
Heijplaat;78.5;83.7;71.9;68.7;69
Charlois;70.7;73.5;64.8;61.5;60.7
Rotterdam;79.4;79.9;75;73.4;74.4
Delfshaven;75.4;77.9;67.3;71.3;62.5
Bospolder;76;74;69.6;57.2;64.5
Tussendijken;73.6;75.1;69.8;65.8;65
Spangen;77.5;78.5;63;66.2;63.2
NieuweWesten;75.7;77.7;63.3;63.4;68
Middelland;77.4;79.2;71;66.3;66.8
OudNieuwMathenesseWitteDorp;78.7;78.1;72.7;69.1;61.2
Schiemond;84.1;73.2;77.7;71.6;72.8
KopvanZuidEntrepot;81.2;83.5;78.1;79.8;74.6
Vreewijk;76.3;80.3;77.1;73.4;66.9
Bloemhof;68.1;65.1;60.5;51.8;57.8
Hillesluis;63.5;70.6;55.4;50.8;53.7
Katendrecht;73;70;71.1;72.2;84
Afrikaanderwijk;72.2;72.7;65.3;58.6;63.5
Feijenoord;77.6;73.2;57.3;57.3;60.8
Noordereiland;87.1;88.1;79;82.7;83.5
Schiebroek;79.5;83.4;85.1;80.7;83.2
HillegersbergZuid;89;92.2;90.9;92.2;91
HillegersbergNoord;92.1;85.9;90.6;91.8;89.9
Terbregge;94.3;95.4;91.3;92.2;91
Molenlaankwartier;94.9;92.2;97;96.9;95.7
HillegersbergSchiebroek;87.4;87.4;89.9;88.8;88.7
HoogvlietNoord;80.7;78.2;80.6;73;79.1
HoogvlietZuid;86.5;86;81.1;81.1;78.4
Hoogvliet;84.3;83;80.9;78.1;78.6
OudIJsselmonde;85.9;85.4;85.1;81.4;85.9
Lombardijen;74.4;77.4;68.6;72.6;67.7
GrootIJsselmonde;76.6;73.5;68.9;75.9;74.1
Beverwaard;71.3;79.2;63.6;67.2;56.2
IJsselmonde;75.8;76.7;69.3;74.4;70.1
Rubroek;71.1;70.6;68;75.1;66.9
NieuwCrooswijk;64.3;57.7;56.6;61.1;65.2
OudCrooswijk;67.9;78.1;69.2;65.9;65
KralingenWest;78.5;77.4;70.9;72.3;75.9
KralingenOostKralingseBos;80.8;87.7;94.4;93;94.9
DeEsch;79.3;80.2;82.8;81.6;79
Struisenburg;85;88.1;84.2;84.3;85
KralingenCrooswijk;75.5;77.6;74.8;76;76.1
Agniesebuurt;77.5;69.9;73.2;66;58.2
Provenierswijk;81.4;85.6;78.7;74.1;71.1
Bergpolder;89.2;74;75.5;75.1;82.6
Blijdorp;90.7;90.3;91;90.3;91.7
Liskwartier;82.1;82.9;84;78.9;82
OudeNoorden;72;70.6;70.6;64;64.8
Noord;81;77.9;78.1;73.9;75.2
Kleinpolder;81.9;74.3;78.8;77.7;73
Overschieeo;83.7;84.9;86.1;80.3;85.8
Overschie;82.8;80.9;82.8;79.1;79.9
Pernis;82;87.4;85.8;86.5;89.7
sGravenland;96.1;92.2;91.6;91.2;92
KralingseVeer;96.4;95.2;92.1;94.9;92
Prinsenland;87.9;91.9;89.3;82.5;88.9
HetLageLand;86.4;88.1;87.6;90.5;86.1
Ommoord;85.9;89.6;82.4;86.2;85.4
Oosterflank;85.2;86.3;76.5;73.6;78
Zevenkamp;84.8;75.9;76.7;71.7;73.7
Nesselande;88.8;91.6;89.5;92.3;91.5
PrinsAlexander;87.3;88.2;84.2;83.9;84.6
StadsdriehoekC.S.Kwartier;89.6;90.8;81.8;77.6;87.2
OudeWesten;74.1;69.8;63.6;60.9;76
CoolNieuweWerkDijkzigt;86.7;87.9;81.5;79.2;83.6
Stadscentrum;84.4;83.1;75.7;72.5;82.9
