Wijk;Gebied
Afrikaanderwijk;Feijenoord
Agniesebuurt;Noord
Bergpolder;Noord
Beverwaard;IJsselmonde
Blijdorp/Blijdorpsepolder;Noord
Bloemhof;Feijenoord
Bospolder;Delfshaven
Carnisse;Charlois
Charlois;Charlois
Cool;Rotterdam Centrum
CS-kwartier;Rotterdam Centrum
De Esch;Kralingen-Crooswijk
Delfshaven;Delfshaven
Delfshaven;Delfshaven
Dorp/Rijnpoort;Hoek van Holland
Feijenoord;Feijenoord
Feijenoord;Feijenoord
Groot IJsselmonde-Noord;IJsselmonde
Groot IJsselmonde-Zuid;IJsselmonde
Heijplaat;Charlois
Het Lage Land;Prins Alexander
Hillegersberg-noord;Hillegersberg-Schiebroek
Hillegersberg-Schiebroek;Hillegersberg-Schiebroek
Hillegersberg-zuid;Hillegersberg-Schiebroek
Hillesluis;Feijenoord
Hoek van Holland;Hoek van Holland
Hoogvliet;Hoogvliet
Hoogvliet-noord;Hoogvliet
Hoogvliet-zuid;Hoogvliet
IJsselmonde;IJsselmonde
Katendrecht;Feijenoord
Kleinpolder;Overschie
Kop van Zuid;Feijenoord
Kop van Zuid-Entrepot;Feijenoord
Kralingen Oost/Kralingse Bos;Kralingen-Crooswijk
Kralingen-Crooswijk;Kralingen-Crooswijk
Kralingen-west;Kralingen-Crooswijk
Kralingseveer;Prins Alexander
Liskwartier;Noord
Lombardijen;IJsselmonde
Middelland;Delfshaven
Molenlaankwartier;Hillegersberg-Schiebroek
Nesselande;Prins Alexander
Nieuw Crooswijk;Kralingen-Crooswijk
Nieuwe Werk/Dijkzigt;Rotterdam Centrum
Nieuwe Westen;Delfshaven
Noord;Noord
Noordereiland;Feijenoord
NoordKethel/Schieveen/Zestienhoven;Overschie
Ommoord;Prins Alexander
Oosterflank;Prins Alexander
Oud Crooswijk;Kralingen-Crooswijk
Oud IJsselmonde;IJsselmonde
Oud-Charlois;Charlois
Oude Noorden;Noord
Oude Westen;Rotterdam Centrum
OudMathenesse/Witte Dorp;Delfshaven
Overschie;Overschie
Overschie;Overschie
Pendrecht;Charlois
Pernis;Pernis
Pernis;Pernis
Prins Alexander;Prins Alexander
Prinsenland;Prins Alexander
Provenierswijk;Noord
Rotterdam;Rotterdam
Rotterdam Centrum;Rotterdam Centrum
Rozenburg;Rozenburg
Rozenburg;Rozenburg
Rubroek;Kralingen-Crooswijk
Schiebroek;Hillegersberg-Schiebroek
Schiemond;Delfshaven
s-Gravenland;Prins Alexander
Spangen;Delfshaven
Stadsdriehoek;Rotterdam Centrum
Strand en duin;Hoek van Holland
Struisenburg;Kralingen-Crooswijk
Tarwewijk;Charlois
Terbregge;Hillegersberg-Schiebroek
Tussendijken;Delfshaven
Vreewijk;Feijenoord
Wielewaal;Charlois
Zevenkamp;Prins Alexander
Zuiderpark en Zuidrand;Charlois
Zuidplein;Charlois
Zuidwijk;Charlois
